,year,zone_name,lat,lon,carbon_intensity_avg
0,2017,New South Wales,-31.8759835,147.2869493,725.9916674
1,2018,New South Wales,-31.8759835,147.2869493,717.2494176
2,2019,New South Wales,-31.8759835,147.2869493,724.6863533
3,2020,New South Wales,-31.8759835,147.2869493,676.1
4,2021,New South Wales,-31.8759835,147.2869493,673.88
5,2017,Queensland,-22.1646782,144.5844903,766.6911518
6,2018,Queensland,-22.1646782,144.5844903,754.8681483
7,2019,Queensland,-22.1646782,144.5844903,748.5187482
8,2020,Queensland,-22.1646782,144.5844903,709.96
9,2021,Queensland,-22.1646782,144.5844903,707.96
10,2017,South Australia,-30.5343665,135.6301212,336.4917457
11,2018,South Australia,-30.5343665,135.6301212,307.6695495
12,2019,South Australia,-30.5343665,135.6301212,301.807806
13,2020,South Australia,-30.5343665,135.6301212,232.31
14,2021,South Australia,-30.5343665,135.6301212,268.52
15,2017,Tasmania,-42.035067,146.6366887,128.6363536
16,2018,Tasmania,-42.035067,146.6366887,86.40150805
17,2019,Tasmania,-42.035067,146.6366887,113.3050594
18,2020,Tasmania,-42.035067,146.6366887,259.86
19,2021,Tasmania,-42.035067,146.6366887,89.03
20,2017,Victoria,-36.5986096,144.6780052,682.3460016
21,2018,Victoria,-36.5986096,144.6780052,674.8512768
22,2019,Victoria,-36.5986096,144.6780052,664.9763699
23,2020,Victoria,-36.5986096,144.6780052,600.51
24,2021,Victoria,-36.5986096,144.6780052,580.73
25,2017,Western Australia,-25.2303005,121.0187246,611.2826759
26,2018,Western Australia,-25.2303005,121.0187246,602.6911659
27,2019,Western Australia,-25.2303005,121.0187246,574.6840559
28,2020,Western Australia,-25.2303005,121.0187246,426.97
29,2021,Western Australia,-25.2303005,121.0187246,480.3
30,2017,Central Brazil,-16.070333,-57.677687,143.7607549
31,2018,Central Brazil,-16.070333,-57.677687,106.1092523
32,2019,Central Brazil,-16.070333,-57.677687,109.0155514
33,2020,Central Brazil,-16.070333,-57.677687,132.19
34,2021,Central Brazil,-16.070333,-57.677687,166.03
35,2017,North Brazil,-3.1070168,-60.0203408,309.329479
36,2018,North Brazil,-3.1070168,-60.0203408,177.2270358
37,2019,North Brazil,-3.1070168,-60.0203408,169.4075899
38,2020,North Brazil,-3.1070168,-60.0203408,228.35
39,2021,North Brazil,-3.1070168,-60.0203408,180.63
40,2017,North-East Brazil,-9.57166435,-40.96105177,240.0231199
41,2018,North-East Brazil,-9.57166435,-40.96105177,174.4660189
42,2019,North-East Brazil,-9.57166435,-40.96105177,145.5749495
43,2020,North-East Brazil,-9.57166435,-40.96105177,107.03
44,2021,North-East Brazil,-9.57166435,-40.96105177,146.01
45,2017,South Brazil,-38.846751,-66.419486,122.9151017
46,2018,South Brazil,-38.846751,-66.419486,106.345731
47,2019,South Brazil,-38.846751,-66.419486,112.8332479
48,2020,South Brazil,-38.846751,-66.419486,170.76
49,2021,South Brazil,-38.846751,-66.419486,170.87
50,2017,Alberta,55.001251,-115.002136,600.6660355
51,2018,Alberta,55.001251,-115.002136,569.1211087
52,2019,Alberta,55.001251,-115.002136,572.174567
53,2020,Alberta,55.001251,-115.002136,531.53
54,2021,Alberta,55.001251,-115.002136,507.27
55,2017,Nova Scotia,45.1960403,-63.1653789,557.7545272
56,2018,Nova Scotia,45.1960403,-63.1653789,531.6378676
57,2019,Nova Scotia,45.1960403,-63.1653789,524.0309974
58,2020,Nova Scotia,45.1960403,-63.1653789,479.56
59,2021,Nova Scotia,45.1960403,-63.1653789,81.02
60,2018,Ontario,50.000678,-86.000977,51.91897984
61,2019,Ontario,50.000678,-86.000977,52.89702006
62,2020,Ontario,50.000678,-86.000977,43.4
63,2021,Ontario,50.000678,-86.000977,54.84
64,2017,Prince Edward Island,46.5036807,-63.59541097,60.44316023
65,2018,Prince Edward Island,46.5036807,-63.59541097,177.8817756
66,2019,Prince Edward Island,46.5036807,-63.59541097,183.5949947
67,2020,Prince Edward Island,46.5036807,-63.59541097,124.91
68,2021,Prince Edward Island,46.5036807,-63.59541097,144.88
69,2017,Yukon,63.000147,-136.002502,40.98239758
70,2018,Yukon,63.000147,-136.002502,72.61218353
71,2019,Yukon,63.000147,-136.002502,122.6711284
72,2020,Yukon,63.000147,-136.002502,59.93
73,2021,Yukon,63.000147,-136.002502,51.11
74,2014,Bornholm,55.1432481,14.92257281,52.07454753
75,2015,Bornholm,55.1432481,14.92257281,41.7483766
76,2016,Bornholm,55.1432481,14.92257281,57.02825111
77,2017,Bornholm,55.1432481,14.92257281,44.18208286
78,2018,Bornholm,55.1432481,14.92257281,56.02340824
79,2019,Bornholm,55.1432481,14.92257281,59.1104047
80,2020,Bornholm,55.1432481,14.92257281,57.4
81,2021,Bornholm,55.1432481,14.92257281,56.4
82,2014,West Denmark,56.259049,8.590149,284.1649171
83,2015,West Denmark,56.259049,8.590149,222.7630219
84,2016,West Denmark,56.259049,8.590149,277.9965561
85,2017,West Denmark,56.259049,8.590149,192.9533457
86,2018,West Denmark,56.259049,8.590149,216.1726897
87,2019,West Denmark,56.259049,8.590149,201.8148847
88,2020,West Denmark,56.259049,8.590149,143.01
89,2021,West Denmark,56.259049,8.590149,193.99
90,2014,East Denmark,56.272822,10.118762,373.8376532
91,2015,East Denmark,56.272822,10.118762,244.2175984
92,2016,East Denmark,56.272822,10.118762,326.2955813
93,2017,East Denmark,56.272822,10.118762,222.338417
94,2018,East Denmark,56.272822,10.118762,255.7970185
95,2019,East Denmark,56.272822,10.118762,186.441604
96,2020,East Denmark,56.272822,10.118762,148.72
97,2021,East Denmark,56.272822,10.118762,191.95
98,2018,Fuerteventura/Lanzarote,28.7404521,-13.862469,598.8922114
99,2019,Fuerteventura/Lanzarote,28.7404521,-13.862469,575.5510053
100,2020,Fuerteventura/Lanzarote,28.7404521,-13.862469,593.5
101,2021,Fuerteventura/Lanzarote,28.7404521,-13.862469,547.37
102,2018,Gran Canaria,27.9580004,-15.60623054,498.8914581
103,2019,Gran Canaria,27.9580004,-15.60623054,472.2256368
104,2020,Gran Canaria,27.9580004,-15.60623054,559.58
105,2021,Gran Canaria,27.9580004,-15.60623054,501.67
106,2018,El Hierro,27.74350835,-18.03817962,278.0959555
107,2019,El Hierro,27.74350835,-18.03817962,284.8031446
108,2020,El Hierro,27.74350835,-18.03817962,413.66
109,2021,El Hierro,27.74350835,-18.03817962,295.73
110,2018,Isla de la Gomera,40.6641169,-3.7666379,650
111,2019,Isla de la Gomera,40.6641169,-3.7666379,650
112,2020,Isla de la Gomera,40.6641169,-3.7666379,650
113,2021,Isla de la Gomera,40.6641169,-3.7666379,650
114,2018,La Palma,28.6552318,-17.85732234,578.6246163
115,2019,La Palma,28.6552318,-17.85732234,579.6679118
116,2020,La Palma,28.6552318,-17.85732234,601.72
117,2021,La Palma,28.6552318,-17.85732234,582.41
118,2018,Tenerife,28.2935785,-16.62144712,514.1835351
119,2019,Tenerife,28.2935785,-16.62144712,459.7062119
120,2020,Tenerife,28.2935785,-16.62144712,539.08
121,2021,Tenerife,28.2935785,-16.62144712,512.82
122,2018,Formentera,38.7063909,1.433526559,545.568393
123,2019,Formentera,38.7063909,1.433526559,493.9366085
124,2020,Formentera,38.7063909,1.433526559,417.76
125,2021,Formentera,38.7063909,1.433526559,423.19
126,2018,Ibiza,38.9743901,1.419746318,573.8095648
127,2019,Ibiza,38.9743901,1.419746318,540.9365955
128,2020,Ibiza,38.9743901,1.419746318,435.85
129,2021,Ibiza,38.9743901,1.419746318,445.69
130,2018,Mallorca,39.613432,2.880353636,567.2795876
131,2019,Mallorca,39.613432,2.880353636,513.1691075
132,2020,Mallorca,39.613432,2.880353636,421.3
133,2021,Mallorca,39.613432,2.880353636,392.86
134,2018,Menorca,39.94918695,4.052951557,581.8441632
135,2019,Menorca,39.94918695,4.052951557,559.8366937
136,2020,Menorca,39.94918695,4.052951557,558.62
137,2021,Menorca,39.94918695,4.052951557,543.87
138,2017,Andhra Pradesh,15.9240905,80.1863809,615.9295464
139,2018,Andhra Pradesh,15.9240905,80.1863809,568.4435523
140,2019,Andhra Pradesh,15.9240905,80.1863809,570.6896173
141,2020,Andhra Pradesh,15.9240905,80.1863809,563
142,2021,Andhra Pradesh,15.9240905,80.1863809,524.23
143,2017,Chhattisgarh,21.6637359,81.8406351,817.7880341
144,2018,Chhattisgarh,21.6637359,81.8406351,812.3667262
145,2019,Chhattisgarh,21.6637359,81.8406351,812.3847756
146,2020,Chhattisgarh,21.6637359,81.8406351,803.35
147,2021,Chhattisgarh,21.6637359,81.8406351,807.75
148,2017,Delhi,28.6273928,77.1716954,516.3633858
149,2018,Delhi,28.6273928,77.1716954,525.322092
150,2019,Delhi,28.6273928,77.1716954,460.3131348
151,2020,Delhi,28.6273928,77.1716954,476.12
152,2021,Delhi,28.6273928,77.1716954,475.57
153,2018,Gujarat,22.3850051,71.745261,611.9258592
154,2020,Gujarat,22.3850051,71.745261,
155,2021,Gujarat,22.3850051,71.745261,
156,2017,Karnataka,14.5203896,75.7223521,572.2960707
157,2018,Karnataka,14.5203896,75.7223521,472.0532917
158,2019,Karnataka,14.5203896,75.7223521,391.442208
159,2020,Karnataka,14.5203896,75.7223521,381.59
160,2021,Karnataka,14.5203896,75.7223521,478.18
161,2017,Punjab,30.9293211,75.5004841,683.2298321
162,2018,Punjab,30.9293211,75.5004841,689.052811
163,2019,Punjab,30.9293211,75.5004841,650.7163528
164,2020,Punjab,30.9293211,75.5004841,601.18
165,2021,Punjab,30.9293211,75.5004841,700.46
166,2018,Uttar Pradesh,27.1303344,80.859666,666.3809035
167,2019,Uttar Pradesh,27.1303344,80.859666,664.3899237
168,2020,Uttar Pradesh,27.1303344,80.859666,737.22
169,2021,Uttar Pradesh,27.1303344,80.859666,736.32
170,2018,Uttarakhand,30.0417376,79.089691,336.3553664
171,2020,Uttarakhand,30.0417376,79.089691,
172,2021,Uttarakhand,30.0417376,79.089691,
173,2015,Central South,41.132309,15.076337,527.3061474
174,2016,Central South,41.132309,15.076337,508.9676076
175,2017,Central South,41.132309,15.076337,504.0194867
176,2018,Central South,41.132309,15.076337,410.3159804
177,2019,Central South,41.132309,15.076337,391.6703764
178,2020,Central South,41.132309,15.076337,409.87
179,2021,Central South,41.132309,15.076337,350.48
180,2015,North,45.701351,10.168439,360.9588795
181,2016,North,45.701351,10.168439,411.5144735
182,2017,North,45.701351,10.168439,400.7444745
183,2018,North,45.701351,10.168439,368.6226418
184,2019,North,45.701351,10.168439,329.4027308
185,2020,North,45.701351,10.168439,294.65
186,2021,North,45.701351,10.168439,280.76
187,2015,Sardinia,40.0912813,9.0305773,576.77291
188,2016,Sardinia,40.0912813,9.0305773,561.347542
189,2017,Sardinia,40.0912813,9.0305773,592.0160276
190,2018,Sardinia,40.0912813,9.0305773,586.5109977
191,2019,Sardinia,40.0912813,9.0305773,506.6227924
192,2020,Sardinia,40.0912813,9.0305773,511.4
193,2021,Sardinia,40.0912813,9.0305773,479.21
194,2015,Sicily,37.587794,14.155048,431.8090755
195,2016,Sicily,37.587794,14.155048,384.4872623
196,2017,Sicily,37.587794,14.155048,379.5440997
197,2018,Sicily,37.587794,14.155048,340.2604429
198,2019,Sicily,37.587794,14.155048,355.980965
199,2020,Sicily,37.587794,14.155048,369.07
200,2021,Sicily,37.587794,14.155048,342.6
201,2015,South,40.417224,16.284694,299.8463556
202,2016,South,40.417224,16.284694,312.5896838
203,2017,South,40.417224,16.284694,313.7483453
204,2018,South,40.417224,16.284694,293.1379385
205,2019,South,40.417224,16.284694,367.4118328
206,2020,South,40.417224,16.284694,375.59
207,2021,South,40.417224,16.284694,336.63
208,2016,Chubu,35.975441,137.725758,462.8812027
209,2017,Chubu,35.975441,137.725758,464.376107
210,2018,Chubu,35.975441,137.725758,454.5890522
211,2019,Chubu,35.975441,137.725758,456.2517135
212,2020,Chubu,35.975441,137.725758,
213,2021,Chubu,35.975441,137.725758,
214,2016,Hokuriku,36.940457,137.559098,509.9404283
215,2017,Hokuriku,36.940457,137.559098,490.4354519
216,2018,Hokuriku,36.940457,137.559098,484.7647833
217,2019,Hokuriku,36.940457,137.559098,481.1768297
218,2020,Hokuriku,36.940457,137.559098,
219,2021,Hokuriku,36.940457,137.559098,
220,2016,Kansai,34.628326,135.813826,592.1784358
221,2017,Kansai,34.628326,135.813826,544.2161852
222,2018,Kansai,34.628326,135.813826,462.8932924
223,2019,Kansai,34.628326,135.813826,447.7367628
224,2020,Kansai,34.628326,135.813826,481.45
225,2021,Kansai,34.628326,135.813826,483.37
226,2016,Okinawa,26.4748948,127.9114687,671.4747987
227,2017,Okinawa,26.4748948,127.9114687,667.1936255
228,2018,Okinawa,26.4748948,127.9114687,664.710904
229,2019,Okinawa,26.4748948,127.9114687,666.8791701
230,2020,Okinawa,26.4748948,127.9114687,
231,2021,Okinawa,26.4748948,127.9114687,
232,2016,Shikoku,33.560875,133.3718857,531.6951417
233,2017,Shikoku,33.560875,133.3718857,512.9755701
234,2018,Shikoku,33.560875,133.3718857,550.4761339
235,2019,Shikoku,33.560875,133.3718857,463.781717
236,2020,Shikoku,33.560875,133.3718857,
237,2021,Shikoku,33.560875,133.3718857,
238,2016,Tokyo,35.685899,139.711934,636.7341589
239,2017,Tokyo,35.685899,139.711934,625.4546787
240,2018,Tokyo,35.685899,139.711934,617.9414226
241,2019,Tokyo,35.685899,139.711934,606.2187907
242,2020,Tokyo,35.685899,139.711934,581.45
243,2021,Tokyo,35.685899,139.711934,575.73
244,2017,Peninsula Malaysia,3.95977,102.437389,628.4026454
245,2018,Peninsula Malaysia,3.95977,102.437389,658.4156593
246,2019,Peninsula Malaysia,3.95977,102.437389,660.7738129
247,2020,Peninsula Malaysia,3.95977,102.437389,674.7
248,2021,Peninsula Malaysia,3.95977,102.437389,661.95
249,2014,Southeast Norway,59.470814,9.402864,31.23899064
250,2015,Southeast Norway,59.470814,9.402864,32.17588992
251,2016,Southeast Norway,59.470814,9.402864,32.43585836
252,2017,Southeast Norway,59.470814,9.402864,34.05180819
253,2018,Southeast Norway,59.470814,9.402864,38.10118059
254,2019,Southeast Norway,59.470814,9.402864,37.92143295
255,2020,Southeast Norway,59.470814,9.402864,27.31
256,2021,Southeast Norway,59.470814,9.402864,31.37
257,2014,Southwest Norway,59.883286,5.926855,24.20759438
258,2015,Southwest Norway,59.883286,5.926855,31.15319288
259,2016,Southwest Norway,59.883286,5.926855,32.31550011
260,2017,Southwest Norway,59.883286,5.926855,35.75581269
261,2018,Southwest Norway,59.883286,5.926855,43.52222146
262,2019,Southwest Norway,59.883286,5.926855,50.34270791
263,2020,Southwest Norway,59.883286,5.926855,25.38
264,2021,Southwest Norway,59.883286,5.926855,33.72
265,2014,Middle Norway,62.07479,9.247596,39.96712404
266,2015,Middle Norway,62.07479,9.247596,40.41381086
267,2016,Middle Norway,62.07479,9.247596,40.93297922
268,2017,Middle Norway,62.07479,9.247596,34.78732371
269,2018,Middle Norway,62.07479,9.247596,46.53918633
270,2019,Middle Norway,62.07479,9.247596,38.33705633
271,2020,Middle Norway,62.07479,9.247596,28.28
272,2021,Middle Norway,62.07479,9.247596,27.81
273,2014,North Norway,64.597974,12.345251,69.16779351
274,2015,North Norway,64.597974,12.345251,70.6391852
275,2016,North Norway,64.597974,12.345251,60.2632502
276,2017,North Norway,64.597974,12.345251,54.05378559
277,2018,North Norway,64.597974,12.345251,59.3839342
278,2019,North Norway,64.597974,12.345251,58.59039316
279,2020,North Norway,64.597974,12.345251,30.78
280,2021,North Norway,64.597974,12.345251,30
281,2014,West Norway,61.937572,5.890097,33.7716213
282,2015,West Norway,61.937572,5.890097,36.2760116
283,2016,West Norway,61.937572,5.890097,36.99529183
284,2017,West Norway,61.937572,5.890097,39.43812755
285,2018,West Norway,61.937572,5.890097,41.17302356
286,2019,West Norway,61.937572,5.890097,39.70429769
287,2020,West Norway,61.937572,5.890097,32.75
288,2021,West Norway,61.937572,5.890097,38
289,2017,North Island,-38.00353045,175.9578526,185.1819705
290,2018,North Island,-38.00353045,175.9578526,167.5234405
291,2019,North Island,-38.00353045,175.9578526,177.583456
292,2020,North Island,-38.00353045,175.9578526,176.93
293,2021,North Island,-38.00353045,175.9578526,230.52
294,2017,South Island,-43.586562,171.2123294,38.16195604
295,2018,South Island,-43.586562,171.2123294,26.61038813
296,2019,South Island,-43.586562,171.2123294,24.88242468
297,2020,South Island,-43.586562,171.2123294,24.5
298,2021,South Island,-43.586562,171.2123294,28.1
299,2018,Siberia,60,100,355.4938497
300,2019,Siberia,60,100,409.5741182
301,2020,Siberia,60,100,502.63
302,2021,Siberia,60,100,472.45
303,2011,California,36.7014631,-118.755997,252.8213642
304,2012,California,36.7014631,-118.755997,311.8082943
305,2013,California,36.7014631,-118.755997,307.8690369
306,2014,California,36.7014631,-118.755997,309.0196892
307,2015,California,36.7014631,-118.755997,296.2467054
308,2016,California,36.7014631,-118.755997,249.5644764
309,2017,California,36.7014631,-118.755997,232.005474
310,2018,California,36.7014631,-118.755997,243.7944704
311,2019,California,36.7014631,-118.755997,230.8466435
312,2018,Imperial Irrigation District,32.84963885,-115.5663306,593.4441598
313,2019,Imperial Irrigation District,32.84963885,-115.5663306,589.5391088
314,2020,Imperial Irrigation District,32.84963885,-115.5663306,597.84
315,2021,Imperial Irrigation District,32.84963885,-115.5663306,573.75
316,2018,Los Angeles Department Of Water And Power,34.058128,-118.2495247,448.5592866
317,2019,Los Angeles Department Of Water And Power,34.058128,-118.2495247,378.7723925
318,2020,Los Angeles Department Of Water And Power,34.058128,-118.2495247,398.86
319,2021,Los Angeles Department Of Water And Power,34.058128,-118.2495247,374.28
320,2018,Turlock Irrigation District,37.7103813,-120.4343599,358.7927184
321,2019,Turlock Irrigation District,37.7103813,-120.4343599,299.2948179
322,2020,Turlock Irrigation District,37.7103813,-120.4343599,353.76
323,2021,Turlock Irrigation District,37.7103813,-120.4343599,347.72
324,2018,Duke Energy Progress East,35.7711311,-78.63982869,325.0585832
325,2019,Duke Energy Progress East,35.7711311,-78.63982869,315.7524839
326,2020,Duke Energy Progress East,35.7711311,-78.63982869,297.68
327,2021,Duke Energy Progress East,35.7711311,-78.63982869,302.22
328,2018,Duke Energy Progress West,29.620303,-82.021355,431.9780322
329,2019,Duke Energy Progress West,29.620303,-82.021355,404.2580142
330,2020,Duke Energy Progress West,29.620303,-82.021355,425.32
331,2021,Duke Energy Progress West,29.620303,-82.021355,460.16
332,2018,Duke Energy Carolinas,35.943486,-80.681401,285.0212825
333,2019,Duke Energy Carolinas,35.943486,-80.681401,274.2010258
334,2020,Duke Energy Carolinas,35.943486,-80.681401,250.98
335,2021,Duke Energy Carolinas,35.943486,-80.681401,282.24
336,2018,Gainesville Regional Utilities,29.6478944,-82.321982,600.0492508
